"experiment","N","mu","stat","value"
"A","100","0","ext_median","8.66428571428571"
"A","300","0","ext_median","17.2247619047619"
"A","1000","0","ext_median","27.5314285714286"
"A","3000","0","ext_median","38.3095238095238"
"A","10000","0","ext_median","48.0953714285714"
"A","30000","0","ext_median","57.0797476190476"
"A","1e+05","0","ext_median","66.37946"
"A","100","0","ext_q25","6.24571428571429"
"A","300","0","ext_q25","13.1095238095238"
"A","1000","0","ext_q25","23.2230714285714"
"A","3000","0","ext_q25","33.0383571428571"
"A","10000","0","ext_q25","42.5268642857143"
"A","30000","0","ext_q25","51.5165095238095"
"A","1e+05","0","ext_q25","60.2531942857143"
"A","100","0","ext_q75","11.6571428571429"
"A","300","0","ext_q75","21.8338095238095"
"A","1000","0","ext_q75","33.7397142857143"
"A","3000","0","ext_q75","44.967380952381"
"A","10000","0","ext_q75","53.6893928571429"
"A","30000","0","ext_q75","63.8618761904762"
"A","1e+05","0","ext_q75","73.4120985714286"
"A","100","0","frac_D","0.534"
"A","300","0","frac_D","0.664"
"A","1000","0","frac_D","0.734"
"A","3000","0","frac_D","0.797"
"A","10000","0","frac_D","0.838"
"A","30000","0","frac_D","0.884"
"A","1e+05","0","frac_D","0.893"
"A","100","0","frac_P","0.352"
"A","300","0","frac_P","0.255"
"A","1000","0","frac_P","0.213"
"A","3000","0","frac_P","0.159"
"A","10000","0","frac_P","0.125"
"A","30000","0","frac_P","0.096"
"A","1e+05","0","frac_P","0.092"
"A","100","0","frac_A","0.114"
"A","300","0","frac_A","0.081"
"A","1000","0","frac_A","0.053"
"A","3000","0","frac_A","0.044"
"A","10000","0","frac_A","0.037"
"A","30000","0","frac_A","0.02"
"A","1e+05","0","frac_A","0.015"
"A","100","0","lost_first_P","0.546"
"A","300","0","lost_first_P","0.675"
"A","1000","0","lost_first_P","0.737"
"A","3000","0","lost_first_P","0.798"
"A","10000","0","lost_first_P","0.841"
"A","30000","0","lost_first_P","0.885"
"A","1e+05","0","lost_first_P","0.893"
"A","100","0","not_absorbed","0"
"A","300","0","not_absorbed","0"
"A","1000","0","not_absorbed","0"
"A","3000","0","not_absorbed","0"
"A","10000","0","not_absorbed","0"
"A","30000","0","not_absorbed","0"
"A","1e+05","0","not_absorbed","0"
"A","100","0","episodes_median","0"
"A","300","0","episodes_median","1"
"A","1000","0","episodes_median","1"
"A","3000","0","episodes_median","1"
"A","10000","0","episodes_median","2"
"A","30000","0","episodes_median","2"
"A","1e+05","0","episodes_median","2"
"A","100","0","episodes_mean","0.481"
"A","300","0","episodes_mean","0.878"
"A","1000","0","episodes_mean","1.189"
"A","3000","0","episodes_mean","1.493"
"A","10000","0","episodes_mean","1.649"
"A","30000","0","episodes_mean","1.8"
"A","1e+05","0","episodes_mean","1.903"
"A","100","0","episodes_at_most_one","0.987"
"A","300","0","episodes_at_most_one","0.909"
"A","1000","0","episodes_at_most_one","0.772"
"A","3000","0","episodes_at_most_one","0.51"
"A","10000","0","episodes_at_most_one","0.354"
"A","30000","0","episodes_at_most_one","0.203"
"A","1e+05","0","episodes_at_most_one","0.106"
"B","100","1e-05","time_per_resurgence","2666.66666666667"
"B","1000","1e-05","time_per_resurgence","519.480519480519"
"B","10000","1e-05","time_per_resurgence","97.5609756097561"
"B","1e+05","1e-05","time_per_resurgence","42.4178154825027"
"B","100","1e-04","time_per_resurgence","571.428571428571"
"B","1000","1e-04","time_per_resurgence","91.533180778032"
"B","10000","1e-04","time_per_resurgence","33.5570469798658"
"B","1e+05","1e-04","time_per_resurgence","29.8730395817774"
"B","100","0.001","time_per_resurgence","76.3358778625954"
"B","1000","0.001","time_per_resurgence","24.4498777506112"
"B","10000","0.001","time_per_resurgence","20.8659363588941"
"B","1e+05","0.001","time_per_resurgence","20.7361327112494"
"B","100","0.01","time_per_resurgence","18.5185185185185"
"B","1000","0.01","time_per_resurgence","13.7741046831956"
"B","10000","0.01","time_per_resurgence","12.7632418634333"
"B","1e+05","0.01","time_per_resurgence","12.8493414712496"
"B","100","1e-05","episodes","15"
"B","1000","1e-05","episodes","77"
"B","10000","1e-05","episodes","410"
"B","1e+05","1e-05","episodes","943"
"B","100","1e-04","episodes","70"
"B","1000","1e-04","episodes","437"
"B","10000","1e-04","episodes","1192"
"B","1e+05","1e-04","episodes","1339"
"B","100","0.001","episodes","524"
"B","1000","0.001","episodes","1636"
"B","10000","0.001","episodes","1917"
"B","1e+05","0.001","episodes","1929"
"B","100","0.01","episodes","2160"
"B","1000","0.01","episodes","2904"
"B","10000","0.01","episodes","3134"
"B","1e+05","0.01","episodes","3113"
"B","100","1e-05","frac_hi","0.204041571428571"
"B","1000","1e-05","frac_hi","0.434709807142857"
"B","10000","1e-05","frac_hi","0.450734237857143"
"B","1e+05","1e-05","frac_hi","0.403241452214286"
"B","100","1e-04","frac_hi","0.396915785714286"
"B","1000","1e-04","frac_hi","0.4476165"
"B","10000","1e-04","frac_hi","0.387130336428571"
"B","1e+05","1e-04","frac_hi","0.373581934"
"B","100","0.001","frac_hi","0.419928928571429"
"B","1000","0.001","frac_hi","0.3520973"
"B","10000","0.001","frac_hi","0.326797169285714"
"B","1e+05","0.001","frac_hi","0.322581308285714"
"B","100","0.01","frac_hi","0.274541714285714"
"B","1000","0.01","frac_hi","0.189606771428571"
"B","10000","0.01","frac_hi","0.191818565"
"B","1e+05","0.01","frac_hi","0.191725867785714"
